keys,en,zh_CN,zh_TW
FACTION,Faction,勢力,勢力
OFFICERS,Officers,人物,人物
DATE,Date,公元,公元
YEAR,-,年,年
MONTH,-,月,月
DAY,,日,日
POPULATION,Population,人口,人口
FUND,Fund,資金,資金
FOOD,Food,糧草,糧草
AGRICULTURE,Agriculture,農業,農業
COMMERCE,Commerce,商業,商業
MORALE,Morale,民心,民心
ENDURANCE,Endurance,耐久,耐久
PERSON_LIST,Person List,人物列表,人物列表
NAME,Name,姓名,姓名
ABILITY,Ability,能力,能力
COMMAND,Command,統兵,統兵
STRENGTH,Strength,武藝,武藝
INTELLIGENCE,Intelligence,智謀,智謀
POLITICS,Politics,政略,政略
GLAMOUR,Glamour,魅力,魅力
INTERNAL,Internal,內政,內政
AGRICULTURE_ABILITY,Agriculture,農業能力,農業能力
COMMERCE_ABILITY,Commerce,商業能力,商業能力
MORALE_ABILITY,Morale,民心能力,民心能力
ENDURANCE_ABILITY,Endurance,耐久能力,耐久能力
TASK,Task,工作,工作
NONE,None,無,無
CONFIRM,Confirm,確定,確定
CANCEL,Cancel,取消,取消
SELECT_ALL,Select All,全選,全選
UNSELECT_ALL,Unselect All,全不選,全不選
SYSTEM,System,系統,系統
SAVE_GAME,Save,儲存遊戲,儲存遊戲
LOAD_GAME,Load,讀取遊戲,讀取遊戲
QUIT_GAME,Quit,離開,離開
FILE_BLANK,<Blank>,＜空白＞,＜空白＞
NEW_GAME,New Game,新遊戲,新遊戲
OPTIONS,Options,設置,設置
OTHER_FEATURES,Other Features,其他功能,其他功能
CREDITS,Credits,製作人員,製作人員
IMPORT_SCENARIO,Import Scenario,導入劇本,導入劇本
BACK,Back,返回,返回
MOVE,Move,移動,移動
CALL,Call,召喚,召喚
BASIC,Basic,基本,基本
FACTION_NAME,Faction,勢力,勢力
KIND_NAME,Kind,種類,種類
ARCHITECTURE_DETAILS,Architecture Details,建築情報,建築情報
